截止时间,项目标题,开始时间,结束时间,跳转链接
"['12-11', '2020']",[' 广发银行深圳分行“智慧交通停车场”项目中标公告'],[''],[''],['https://www.chengezhao.com//cms/channel/ywgg4hw/85702.htm']
"['12-14', '2020']",['中国电信云公司2020年行业咨询服务项目单一来源采购公示'],['2020-12-14 14:09:00'],['2020-12-14 14:09:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85701.htm']
"['12-14', '2020']",['广东省广播电视网络股份有限公司中山分公司2020年度业务视频宣传片制作项目中标候选人公示'],['2020-12-14 00:00:00'],['2020-12-17 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85700.htm']
"['12-14', '2020']",['数字江门网络建设有限公司保险信息系统硬件设备及数据库维保（2020-2021年度）项目成交结果公告'],['2020-12-14 13:20:00'],['2020-12-14 13:20:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85699.htm']
"['12-14', '2020']",['数字江门网络建设有限公司机房安全加固和关键设备维保（2020-2021年度）维护项目成交结果公告'],['2020-12-14 13:19:00'],['2020-12-14 13:19:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85698.htm']
"['12-14', '2020']",['数字江门网络建设有限公司保险信息管理系统软件维护服务项目成交结果公告'],['2020-12-14 13:18:00'],['2020-12-14 13:18:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85697.htm']
"['12-14', '2020']",['数字江门网络建设有限公司机房维护（2020-2021年度）项目成交结果公告'],['2020-12-14 13:17:00'],['2020-12-14 13:17:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85696.htm']
"['12-14', '2020']",['广发银行东莞分行电子社保卡业务机具外包服务招标公告（第二次）'],['2020-12-14 12:29:00'],['2020-12-14 12:29:00'],['https://www.chengezhao.com//cms/channel/ywgg2fw/85695.htm']
"['12-14', '2020']",['广东中烟工业有限责任公司湛江卷烟厂火灾监测自动报警系统升级改造项目中标结果公示'],['2020-12-14 12:18:00'],['2020-12-14 12:18:00'],['https://www.chengezhao.com//cms/channel/ywgg4gc/85694.htm']
"['12-14', '2020']",['湖北省消防救援总队无人机培训及炊事员培训服务采购项目竞争性谈判采购公告'],['2020-12-14 09:00:00'],['2020-12-17 23:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85693.htm']
"['12-14', '2020']",['广东省广播电视网络股份有限公司云浮新兴分公司2021年直播类 EPG 广告业务代理项目成交结果公告'],['2020-12-14 11:25:00'],['2020-12-14 11:25:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85692.htm']
"['12-14', '2020']",['湖北省消防救援总队无人机培训及炊事员培训服务采购项目竞争性谈判采购公告'],['2020-12-14 09:00:00'],['2020-12-17 23:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85691.htm']
"['12-14', '2020']",['某单位文印类办公用品采购项目竞争性谈判公告'],['2020-12-11 09:00:00'],['2020-12-19 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85690.htm']
"['12-14', '2020']",['铜陵铁塔学院基站电缆设备采购项目比选公告'],['2020-12-14 09:00:00'],['2020-12-17 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85689.htm']
"['12-14', '2020']",['铜陵铁塔学院基站变压器设备采购项目比选公告'],['2020-12-14 09:00:00'],['2020-12-15 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85688.htm']
"['12-14', '2020']",['广州市劳动人事争议仲裁院2021年度劳动人事争议仲裁相关辅助性服务项目竞争性磋商公告'],['2020-12-11 09:00:00'],['2020-12-17 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85687.htm']
"['12-14', '2020']",['广发银行长沙分行全辖网点零星维修工程项目中标公告'],['2020-12-14 11:05:00'],['2020-12-14 11:05:00'],['https://www.chengezhao.com//cms/channel/ywgg4gc/85686.htm']
"['12-14', '2020']",['广州公交集团新能源发展有限责任公司设计制作石马、燕岭公交立体充电桩停车场综合楼宣传物料采购项目比选公告'],['2020-12-14 09:00:00'],['2020-12-17 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85685.htm']
"['12-14', '2020']",['中国移动天津公司2021-2022年网管大厦发电机组维保服务项目项目公告'],['2020-12-14 09:00:00'],['2020-12-19 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85684.htm']
"['12-14', '2020']",['中国银行股份有限公司湛江分行本部大楼装修改造工程项目招标变更公告'],['2020-12-14 10:18:00'],['2020-12-14 10:18:00'],['https://www.chengezhao.com//cms/channel/ywgg2gc/85683.htm']
"['12-14', '2020']",['江门公用工程有限公司机械设备及运输服务资格项目中标候选人公示'],['2020-12-14 00:00:00'],['2020-12-14 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85682.htm']
"['12-14', '2020']",['公诚管理咨询有限公司关于业务协同平台建设项目磋商公告'],['2020-12-14 09:00:00'],['2020-12-17 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85681.htm']
"['12-14', '2020']",['安徽深燃天然气有限公司自闭阀采购项目中标候选人公示'],['2020-12-14 00:00:00'],['2020-12-17 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85680.htm']
"['12-14', '2020']",['中国电信重庆公司2020年5G二期增补工程天线采购项目中标候选人公示'],['2020-12-12 00:00:00'],['2020-12-14 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85679.htm']
"['12-14', '2020']",['厨房设备采购项目中标候选人公示'],['2020-12-10 00:00:00'],['2020-12-10 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85678.htm']
"['12-14', '2020']",['广东科学技术职业学院日常维修水电五金材料采购项目中标公告'],['2020-12-14 09:16:00'],['2020-12-14 09:16:00'],['https://www.chengezhao.com//cms/channel/ywgg4hw/85677.htm']
"['12-14', '2020']",['邵东深燃2020年LNG场站隐患整改及工艺管道安装项目中标候选人公示'],['2020-12-14 00:00:00'],['2020-12-16 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3gc/85676.htm']
"['12-12', '2020']",['某部旋风筒、导流管采购项目（重新采购）中标候选人公示'],['2020-12-10 00:00:00'],['2020-12-13 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85675.htm']
"['12-11', '2020']",['中国电信南川分公司2021年农村支局和仓库物业服务外包项目项目公告'],['2020-12-11 09:00:00'],['2020-12-16 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85674.htm']
"['12-11', '2020']",['中国电信重庆公司2021年终端测试服务采购项目项目公告'],['2020-12-11 09:00:00'],['2020-12-16 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85673.htm']
"['12-11', '2020']",['河源联通高新区IDC机房等级保护测评服务采购（第二次）项目公告'],['2020-12-11 09:00:00'],['2020-12-17 09:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85672.htm']
"['12-11', '2020']",['广发银行股份有限公司南京分行监控中心拼接屏改造工程项目中标候选人公示'],['2020-12-11 00:00:00'],['2020-12-14 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3gc/85671.htm']
"['12-11', '2020']",['源城区建筑物基础资料调查收集及电子地图处理项目项目招标公告'],['2020-12-11 09:00:00'],['2020-12-18 23:59:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85670.htm']
"['12-11', '2020']",['广州体育学院清远新校区项目编制节能评估专题报告和社会稳定风险分析研究报告采购项目 竞争性磋商采购公告'],['2020-12-11 09:00:00'],['2020-12-18 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85669.htm']
"['12-11', '2020']",['后向合作商引入项目项目公告'],['2020-12-11 09:00:00'],['2020-12-13 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85668.htm']
"['12-11', '2020']",['后向合作商引入项目公告'],['2020-12-11 09:00:00'],['2020-12-13 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85667.htm']
"['12-11', '2020']",['2021-2022年度四川联通通信工程建设项目客户接入工程施工集中招标项目招标公告'],['2020-12-11 09:00:00'],['2020-12-18 17:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1gc/85666.htm']
