序号,公告标题,发布日期,跳转链接
['1'],['广州市公安局番禺区分局智能执法办案中心审讯工作一体机采购项目(CZ2020-1943)招标公告'],['2020-12-11'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765547.jhtml']
['2'],['广州市公安局荔湾区分局荔湾区公共安全与管理智能视频系统升级改造项目（原荔湾区第二轮建设部分）咨询设计服务项目(CZ2020-1884)招标公告'],['2020-12-10'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765200.jhtml']
['3'],['广州市公安局南沙区分局珠江派出所、南北台派出所弱电智能化建设采购项目(CZ2020-2008)招标公告'],['2020-12-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764853.jhtml']
['4'],['广州市公安局从化区分局执法办案场所智能化管理设备采购安装项目(CZ2020-1966)招标公告'],['2020-12-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763643.jhtml']
['5'],['2020年度广州市中心城区城市道路停车智能管理网络租赁采购项目(CC2020-0202)竞争性磋商公告'],['2020-12-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763440.jhtml']
['6'],['广州市公安局从化区分局从化区看守所智能管理信息化系统建设项目(CZ2020-1548)招标公告'],['2020-11-30'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763240.jhtml']
['7'],['广州市公安局从化区分局从化区看守所智能管理信息化系统建设项目监理服务项目(CC2020-0167)竞争性磋商公告'],['2020-11-30'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763216.jhtml']
['8'],['广州市新儿童活动中心信息化、智能化工程及相关服务采购项目(CZ2020-1856)招标公告'],['2020-11-18'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/756209.jhtml']
['9'],['广州市中心城区城市道路停车智能管理信息化项目监理服务采购项目(CC2020-0207)竞争性磋商公告'],['2020-11-13'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/754911.jhtml']
['10'],['广州市公安局南沙区分局珠江派出所、南北台派出所弱电智能化建设采购项目(CZ2020-1467)招标公告'],['2020-11-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/751783.jhtml']
['1'],['广州市增城区仙村镇蓝山村旧村全面改造项目（CZ2020-1849）公开选择合作企业公告'],['2020-12-11'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765610.jhtml']
['2'],['广州市白云区人民政府龙归街道办事处开展环卫保洁、河涌保洁、垃圾运输、环卫公厕管养、绿化维护、市政设施维护、路灯管养项目购买服务采购项目(CZ2020-1986)招标公告'],['2020-12-11'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765549.jhtml']
['3'],['广州市公安局番禺区分局智能执法办案中心审讯工作一体机采购项目(CZ2020-1943)招标公告'],['2020-12-11'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765547.jhtml']
['4'],['广州市公安局增城区分局数据整合汇聚平台二期建设采购项目(CC2020-0233)竞争性磋商公告'],['2020-12-11'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765515.jhtml']
['5'],['增城区公安分局机动车驾驶人科目一改建采购项目(CC2020-0184)竞争性磋商公告'],['2020-12-11'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765493.jhtml']
['6'],['广州市第一人民医院资产及物资管理信息化系统采购项目(CZ2020-1936)招标公告'],['2020-12-11'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765485.jhtml']
['7'],['广州市花都区机关事务管理局2021-2023年安全服务采购项目(CZ2020-2002)招标公告'],['2020-12-10'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765310.jhtml']
['8'],['广州市白云区政务服务数据管理局信息化项目造价评审服务资格采购项目(CC2020-0229)竞争性磋商公告'],['2020-12-10'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765295.jhtml']
['9'],['广州市海珠区体育场馆全民健身中心场馆物业管理服务采购项目(CZ2020-1973)招标公告'],['2020-12-10'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765208.jhtml']
