标号,招标项目,时间,跳转链接
['440222-202012-530001-0005'],['始兴县农村生活垃圾清运服务采购项目公开招标公告'],['[2020-12-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20449']
['CQ2020086'],['韶关市浈江区路内停车收费运营管理项目公开招标公告'],['[2020-12-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20447']
['GZQS2020FG12039SH'],['韶关市交通运输局市级货运源头监管信息系统平台项目（一期）公开招标公告'],['[2020-12-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20446']
['GZQS2020GC12038'],['老门诊二楼卒中中心竞争性磋商公告'],['[2020-12-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20439']
['GZQS2020FC12001'],['广州市消防救援支队2020年信息化建设项目监理服务竞争性磋商公告'],['[2020-12-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20438']
['GZQS2020FC12030'],['2021年增城区元旦文艺晚会项目竞争性磋商公告'],['[2020-12-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20436']
['GZQS2020FG11096'],['广东广新置业发展有限公司招标代理入库项目公开招标公告'],['[2020-12-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20435']
['GZQS2020FC12034'],['广州市黄埔区何棠下小学校医服务采购项目竞争性磋商公告'],['[2020-12-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20428']
['GZQS2020FC11100SH'],['韶关市物业管理综合信息平台运行维护技术服务项目竞争性磋商公告'],['[2020-12-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20427']
['GZQS2020HG11079'],['中华人民共和国天河出入境边防检查站食堂肉菜定点采购项目公开招标公告'],['[2020-12-09]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20426']
['GZQS2020HC12018'],['广州市机电高级技工学校工会委员会教职工生日蛋糕券采购项目竞争性磋商公告'],['[2020-12-08]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20411']
['ZQS2020FC12013'],['广州城市职业学院“1+X”职业技能认证考试基地服务项目竞争性磋商公告'],['[2020-12-08]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20410']
['GZQS2020HG11122Z'],['中共肇庆市委党校2020-2022年粮油食品采购项目公开招标公告'],['[2020-12-08]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20409']
['GZQS2020FC11133'],['2020年末至2021年1季度广东省房屋市政工程安全生产全覆盖抽查巡查竞争性磋商公告'],['[2020-12-08]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20408']
['GZQS2020HC12025'],['广州市黄埔区玉泉学校书架采购项目竞争性磋商公告'],['[2020-12-08]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20407']
['441283-202012-164-0024'],['肇庆市高要区教育局互联网环境下基础教育教学改革实验区项目“爱种子”教学平台服务竞争性磋商公告'],['[2020-12-07]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20403']
['GZQS2020FC12005'],['广州开发区生态环境局2020年度环境统计服务项目竞争性磋商公告'],['[2020-12-07]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20398']
['GZQS2020HG11064'],['2020年环保检测仪器第二批购置项目公开招标公告'],['[2020-12-07]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20397']
['GZQS2020FD12011'],['广州市黄埔区教育局2020年第二次教师招聘项目单一来源公告'],['[2020-12-07]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20396']
['（立项编号：20204749000500027、项目编号：GZQS2020FC12017）'],['黄埔区第四批示范社区建设项目（黄埔街）工程造价咨询服务资格项目'],['[2020-12-07]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20406']
['GZQS2020HC12019SH'],['韶关学院音乐与舞蹈学院、创新创业学院窗帘采购项目行竞争性磋商公告'],['[2020-12-07]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20393']
['GZQS2020HC12016X'],['乳源瑶族自治县中医医院胃肠镜系统及配套设备采购项目竞争性磋商公告'],['[2020-12-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20391']
['GZQS2020HC11140'],['黄河入河排污口排查技术支撑竞争性磋商公告'],['[2020-12-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20385']
['GZQS2020HC11141'],['长江入河排污口排查整治工作技术支撑竞争性磋商公告'],['[2020-12-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20384']
['GZQS2020HC11142X'],['越秀区洪桥街三眼井社区党群服务站宣传布展采购项目竞争性磋商公告'],['[2020-12-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20383']
['GZQS2020FG10055'],['黄埔区长洲岛群闸2021至2023年度运行管理服务项目公开招标公告'],['[2020-12-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20382']
['GZQS2020HG11128'],['广州市荔湾区城市管理和综合执法局环卫设备购置项目公开招标公告'],['[2020-12-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20381']
['GZQS2020FG11058'],['广药集团2021年-2023年直购电业务项目比选公告'],['[2020-12-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20379']
['441226-202012-dq153-0054'],['德庆县德城街道大桥、登云村委会五一村等8个自然村风貌提升建设（道路硬底化和铺设排水设施）项目竞争性磋商公告'],['[2020-12-03]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20373']
['GZQS2020FG11039'],['中新广州知识城九龙湖2020至2023年维护管理服务项目公开招标公告'],['[2020-12-03]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20372']
['GZQS2020HX12012Z'],['广东肇庆中学初中部课室多媒体设备采购项目采购公告'],['[2020-12-03]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20443']
['2020-JWGDSG-F1006'],['武警韶关支队自动售货机服务项目公开招标公告（重新启动）'],['[2020-12-02]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20362']
['GZQS2020FC11068SH'],['韶关学院大塘校区2020-2021年垃圾清运服务项目（重招）竞争性磋商公告'],['[2020-12-02]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20361']
['GZQS2020HG11072Z'],['广东肇庆星湖生物科技股份有限公司升级改造嘌呤车间电缆采购项目重启公告'],['[2020-12-02]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20359']
['GZQS2020FG11028'],['北大荒（大湾区）生态产业城项目防雷装置检测服务招标公告'],['[2020-12-01]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20349']
['GZQS2020FC11112'],['2020年信息化设备运维服务信息安全服务及2021年信息化设备运维服务网络安全服务竞争性磋商公告'],['[2020-12-01]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20347']
['GZQS2020FC11139'],['广州市黄埔区玉泉学校跨年晚会服务项目竞争性磋商公告'],['[2020-12-01]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20346']
['GZQS2020HC11138'],['广州市黄埔区科学城小学图书馆系统采购项目竞争性磋商公告'],['[2020-11-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20335']
['GZQS2020FC10037'],['广州成悦物业管理有限公司中央空调冷却塔维修项目竞争性磋商公告'],['[2020-11-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20328']
['GZQS2020FC11125M'],['梅州市统一申办受理平台“四免”专题应用软件开发服务项目磋商公告'],['[2020-11-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20332']
['GZQS2020FG11137SH'],['韶关市浈江区路内停车收费运营管理项目公开招标公告'],['[2020-11-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20325']
