公告标题,序号,发布日期,跳转链接
['广州市海珠区人民政府南石头街道办事处居家养老服务项目'],[招标编号0877-20GZTP01FF746,(2020-12-14),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601765f253d8b047d']
['广东省因公出访证照中心2021-2023年电子护照项目运维服务竞争性磋商'],[招标编号0877-20GZTP01H680,(2020-12-11),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017651a9ceeb0434']
['省医招采调〔2020〕176号-广东省人民医院零星信息设备外设采购项目市场调研公告'],[招标编号/,(2020-12-11),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176510ea199042c']
['省医招采调〔2020〕175号-广东省人民医院住院医师规范化培训管理系统采购项目调研公告'],[招标编号/,(2020-12-11),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176510d85f8042a']
['省医招采调〔2020〕174号-广东省人民医院高性能计算机采购项目市场调研公告'],[招标编号/,(2020-12-11),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176510ad6150429']
['广州市黄埔区妇幼保健院窗帘隔离帘和床上用品配置项目竞争性磋商公告'],[招标编号0877-20GZTP01FK775,(2020-12-11),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176508914ce041f']
['广州市黄埔区妇幼保健院标识牌配置项目竞争性磋商公告'],[招标编号0877-20GZTP01FK774,(2020-12-11),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601765086e0ed041e']
['广州市黄埔区妇幼保健院空气消毒器配置项目竞争性磋商公告'],[招标编号0877-20GZTP01FK773,(2020-12-11),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017650861b01041d']
['广州市黄埔区妇幼保健院供应室设备配置项目竞争性磋商公告'],[招标编号0877-20GZTP01FK772,(2020-12-11),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601765083c3cf041c']
['中共广州市委网络安全和信息化委员会办公室网信广州公众平台2021年度运营服务项目招标公告'],[招标编号0877-20GZTP01H695,(2020-12-10),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601764b8fdd6e03e6']
['广东省阳江市中级人民法院机房基础网络系统升级改造及非涉密信息系统等级保护项目建设竞争性磋商'],[招标编号0877-20GZTP01N780,(2020-12-10),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601764abef6ca03d7']
['大源街食材配送采购项目'],[招标编号0877-20GZTP01K686	,(2020-12-10),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601764abc122903d6']
['广东省四会监狱警察厨房设备采购及安装项目'],[招标编号0877-20GZTP01FF763 ,(2020-12-10),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601764a7e0c9f03d1']
['2020年广州市白云区太和镇人民政府社区居家养老服务项目招标公告'],[招标编号0877-20GZTP01FL499,(2020-12-09),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017646d087f003b5']
['广州市公用事业高级技工学校工会委员会2021年教职工生日蛋糕券采购项目（重招）招标公告'],[招标编号0877-20GZTP01FR726-1,(2020-12-09),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017646cb339e03b4']
['中国电器科学研究院股份有限公司兼容性测试设备采购项目（重招）招标公告'],[招标编号0877-20GZTP04G661-1,(2020-12-09),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017646be7bd803b3']
['广州市市场监督管理局档案管理中心档案业务辅助服务采购项目'],[招标编号0877-20GZTP01FF771 ,(2020-12-09),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601764684407003b0']
['广州市白云区龙归街柏塘村五人制小型足球场人造草及配套设施采购项目招标公告'],[招标编号0877-20GZTP01FK709,(2020-12-09),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176457a84e503a8']
['广东省第二人民医院重大疫情救治基地设备（第三批）应急公开采购项目(包组四重招)'],[招标编号0877-20GZTP01F748-1 ,(2020-12-09),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176450bcb4903a4']
['广州市南沙区珠江街社区居家养老综合服务平台采购项目'],[招标编号0877-20GZTP01K729 ,(2020-12-08),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017640915545038c']
['省医招采调〔2020〕173号-广东省人民医院病理系统软硬件维保服务项目调研公告'],[招标编号/,(2020-12-08),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017640424bde0386']
['广州开发区中学实验室台凳采购项目招标公告'],[招标编号0877-20GZTP01FH760,(2020-12-07),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601763c627446036c']
