项目名称,发布时间,开标时间,跳转链接
['惠州市中大惠亚医院心血管成像系统（DSA）三年人工保服务项目（重新招标）公开招标公告'],['2020-12-14'],['2021-01-05'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fd6dced50cd7.html']
['中国人民警察大学（广州）后勤综合楼二楼西侧餐厅改造项目招标公告'],['2020-12-11'],['2021-01-05'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fd3655e6fd1e.html']
['广州番禺职业技术学院山坡支护工程设计项目竞争性磋商公告'],['2020-12-11'],['2020-12-23'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fd3530a1f76b.html']
['市教育局番职院运动场、西区学生食堂三楼修缮工程设计项目竞争性磋商公告'],['2020-12-11'],['2020-12-23'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fd3510b7be2b.html']
['广东省政务服务数据局办公大楼视频监控升级改造项目公开遴选公告'],['2020-12-11'],['2020-12-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fd3451f90121.html']
['广州市黄埔区人民政府夏港街道办事处 黄埔区人民政府夏港街街道办事处社区服务设施（颐康站）服务项目招标公告'],['2020-12-11'],['2021-01-04'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fd3355206ce9.html']
['松山湖松科苑酒店项目物业租赁 招标公告'],['2020-12-10'],['2020-12-31'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fd2272a7fef6.html']
['佛山市豪德纺织有限公司剑杆织机采购项目招标公告'],['2020-12-10'],['2020-12-31'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fd213f8e49ed.html']
['佛山市纺昇织造有限公司剑杆织机采购项目招标公告'],['2020-12-10'],['2020-12-31'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fd212b849db5.html']
['广东省总工会十九楼会议室及公共区域修缮改造项目竞争性磋商公告'],['2020-12-10'],['2020-12-22'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fd1e9d1e53c5.html']
['2021-2022年石岐街道残疾人综合服务中心管理人员服务项目招标公告 '],['2020-12-10'],['2020-12-31'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fd1e8f4de58e.html']
['广州市黄埔区人民政府夏港街道办事处 夏港街机关事业单位海关单位排水单元达标工程施工项目（重招）竞争性磋商公告'],['2020-12-10'],['2020-12-22'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fd1bc8852aaf.html']
[' 广东省政务服务数据管理局办公大楼一、三楼会议室会议系统升级改造项目竞争性磋商公告'],['2020-12-09'],['2020-12-22'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fd0cf66ba2fb.html']
['夏港街道新办公大楼网络及固定电话设备迁移工程采购公告'],['2020-12-09'],['2020-12-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fd0acf79855e.html']
['信宜市大成镇石屏至北梭公路下湾段路基拓宽开凿石方工程招标公告'],['2020-12-09'],['2020-12-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fd09af133080.html']
['信宜市人民医院全自动清洗消毒机、医用绝缘检测仪采购项目招标公告'],['2020-12-09'],['2020-12-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fd09134051ec.html']
['广州银行虚拟化容灾产品采购项目(第二次)招标公告'],['2020-12-08'],['2020-12-30'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fcf909deb240.html']
['2020年广州市黄埔区残疾人家庭无障碍改造（辅具类采购）项目采购公告'],['2020-12-08'],['2020-12-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fcf5e14525c0.html']
